locale_id;sk;sk-upravena hlaska;en;en-upravena hlaska
language.en;English;;English;
language.ge;German;;;
language.sk;Slovenčina;;Slovenčina;
languageSelector.close;Skryť jazykové menu;;Close language menu;
languageSelector.open;Rozbaliť jazykové menu;;Open language menu;
loading.loadingSubPage;Načítavám podstránku;;Loading sub-page;
searchInput.search;Hľadať;;Search;
tab.contents;Obsah;;Contents;
tab.moreTabs;Dalsie zalozky;;More tabs;
table.activeFilter;Aktívny filter;;Active filter;
table.area;Rozloha;;Area;
table.chooseDistrict;Vybrať okres;;Choose district;
table.city;Mesto;;City;
table.density;Hustota;;Density;
table.district;Okres;;District;
table.filter;Filtrovať;;Filter;
table.heading;Filtrovať obsah;;Filter Content;
table.noDataLoaded;Nenačítali sa žiadne záznamy;;No data loaded;
table.noRowsFound;Nenašli sa žiadne záznamy;;No rows found;
table.pack;Zbaliť obsah filtra;;Pack Filter Content;
table.pagination;Tabuľková navigácia;;Page navigation;
table.paginationSummary;Zobrazených {{start}} - {{end}} z celkových {{total}} záznamov;;Zobrazených {{start}} - {{end}} z celkových {{total}} záznamov;
table.paginationSummaryEmpty;Zobrazených 0 z celkových 0 záznamov;;Viewed 0 from total 0 records;
table.region;Kraj;;Region;
table.resetOrder;Resetovať poradie;;Reset order;
table.source;Zdroj:;;Source:;
table.sourceUrl;sk.wikipedia.org;;sk.wikipedia.org;
table.title;Mestá;;Cities;
table.unorderedColumn;Nezoradený stĺpec - použije vzostupné zoradenie.;;Unsorted column - will use ascending sorting.;
table.unpack;Rozbaliť obsah filtra;;Unpack Filter Content;
table.wrapActiveFilter;Zbaliť aktívny filter;;Pack active filter;
