locale_id;sk;sk - upravena hlaska;en;en-upravena hlaska
Aktivita.action;V relácií s vybraným Projektom;V relácii s vybraným Projektom;In relation with selected project;
Aktivita.description;Popis aktivity;;Description of activity;
Aktivita.name;Aktivity NKIVS;;Activities NKIVS;
Aktivita.target;Cieľ aktivity;;Objective of the activity;
Ciel.action;V relácií s vybraným KRIS;V relácii s vybraným KRIT;In relation with selected KRIS;In relation with selected KRIT
Ciel.commitmentHeader;Záväzok dodržiavania cieľov a princípov Národnej koncepcie informatizácie verejnej správy;;Commitment to the observance of the goals and principles of the National Informatization Concept of Public Administration;
Ciel.commitmentLabel;Týmto prehlasujeme, že pri budovaní a rozvoji ISVS budeme napĺňať nami definované ciele, podciele a dodržiavať princípy Národnej koncepcie informatizácie verejnej správy.;Týmto prehlasujeme, že pri budovaní a rozvoji ITVS budeme napĺňať nami definované ciele, podciele a dodržiavať princípy Národnej koncepcie informatizácie verejnej správy.;We declare that the building and developing ISVS will meet our defined objectives, sub-objectives and adhere to the principles of the National Informatization Concept of Public Administration;We declare that the building and developing ITVS will meet our defined objectives, sub-objectives and adhere to the principles of the National Informatization Concept of Public Administration
Ciel.description;Popis cieľa;;Goal description;
Ciel.haveNoRights;Na editovanie tejto položky nemáte prísluľné práva.;Na editovanie tejto položky nemáte dostatočné oprávnenie.;You do not have rights to edit this input.;
Ciel.name;Pod-cieľ;Podcieľ;Sub-goal;
Ciel.noCheckedItems;Pred potvrdením záväzku dodržiavania cieľov a princípov Národnej koncepcie informatizácie verejnej správy je potrebné vybrať aspoň jeden cieľ.;;Before confirming the commitment to comply with the goals and principles of the National Concept of Informatization of Public Administration, it is necessary to select at least one goal.;
Ciel.target;Cieľ;;Goal;
DraftsList.create.heading;Tvorba návrhu;;Create draft;
DraftsList.create.warning;Kritériá, uvádzané nižšie, je potrebné pred schválením návrhu štandardu vyhodnotiť, neznamená to však, že každé z nich musí byť „splnené“ (nie každé kritérium je relevantné pre každý návrh). Pokiaľ predkladateľ nevie niektoré kritérium posúdiť alebo ho uviesť, v odpovedi uvedie takúto informáciu. V rámci možností odpovedajte celou vetou, nie len „áno/nie“.;"Kritériá uvádzané nižšie je potrebné pred schválením návrhu štandardu vyhodnotiť, neznamená to však, že každé z nich musí byť „splnené“ (nie každé kritérium je relevantné pre každý návrh). Ak neviete niektoré kritérium posúdiť alebo ho uviesť, v odpovedi uveďte takúto informáciu. V rámci možností, prosím, odpovedajte celou vetou, nie len „áno/nie“.
";The criteria below should be evaluated before approving the draft standard, but this does not mean that each of them must be 'met' (not every criterion is relevant to each proposal). If applicant does not know to judge a criterion, than answer the whole sentence, not just 'yes/no'.;
DraftsList.createForm.cancel;Zrušiť;;Cancel;
DraftsList.createForm.email;Email;E-mailová adresa;Email;
DraftsList.createForm.heading;Znenie návrhu;;Draft name;
DraftsList.createForm.links.addNewAttachment;Pridať ďalší odkaz na dokument;;Add another document;
DraftsList.createForm.links.andOrAddFile;A/Alebo nahrajte dokumenty;;And/Or upload documents;
DraftsList.createForm.links.heading;Dokumenty;;Documents;
DraftsList.createForm.links.linkDescription;Popis dokumentu;;Document description;
DraftsList.createForm.links.linkSize;Veľkosť dokumentu;;Document size;
DraftsList.createForm.links.linkType;Typ dokumentu;;Type of document;
DraftsList.createForm.links.subHeading;Zadajte odkazy na dokumenty;;Add links on documents;
DraftsList.createForm.links.url;Link na dokument;;Link on document;
DraftsList.createForm.name;Meno a priezvisko;;First/Last name;
DraftsList.createForm.submit;Pridať návrh;;Add draft;
DraftsList.createForm.userHeading;Identifikácia používateľa;;User identification;
DraftsList.detail.accordion.basicInformation;Základné informácie;;Basic information;
DraftsList.detail.accordion.generalDescription;Všeobecný popis návrhu;;General description of the proposal;
DraftsList.detail.accordion.otherDescription;Ostatné;;Other;
DraftsList.detail.assignedToGroup;Pridelený skupine;;Assigned to PS;
DraftsList.detail.missingRejectReason;Nebol zadaný dôvod zrušenia;Nebol zadaný dôvod zrušenia.;Reject reason is missing;
DraftsList.detail.noDocuments;Nie sú priložené žiadne dokumenty;;No documents attached;
DraftsList.filter.createdBy;Predkladateľ;;Tenderer;
DraftsList.filter.draftName;Názov návrhu;;Draft name;
DraftsList.filter.draftType.RI;Referencovateľný identifikátor;;Reference identifier;
DraftsList.filter.draftType.RR;Referenčný register;;Reference register;
DraftsList.filter.draftType.WEB;Všeobecný;;Web;
DraftsList.filter.draftType.ZC_Header;Žiadosť o zmenu ZČ;;Request for change new codelist;
DraftsList.filter.draftType.ZC_Request;Žiadosť o pridanie nového ZČ;;Request for add new codelist;
DraftsList.filter.draftType.label;Typ návrhu;;Draft type;
DraftsList.filter.fromDate;Prijaté v období od;;Accepted from date;
DraftsList.filter.state.ACCEPTED;Akceptovaný;;Accepted;
DraftsList.filter.state.ASSIGNED;Priradený;;Assigned;
DraftsList.filter.state.REJECTED;Zamietnutý;;Rejected;
DraftsList.filter.state.REQUESTED;Nový;;New;
DraftsList.filter.state.label;Stav návrhu;;Draft status;
DraftsList.filter.toDate;Prijaté v období do;;Accepted to date;
DraftsList.filter.workGroupId;Pracovná skupina;;Assigned working group;
DraftsList.header.ACCEPTED;Označiť návrh ako zapracovaný;;Mark draft as processed;
DraftsList.header.ASSIGNED;Priradiť do PS;;Add into working group;
DraftsList.header.REJECTED;Zamietnuť návrh;;Reject draft;
DraftsList.header.changeState.description;Dôvod;;Reason;
DraftsList.header.changeState.submit;Odoslať formulár;;Submit form;
DraftsList.table.createdAt;Dátum zadania návrhu;;Created at;
DraftsList.table.name;Predkladateľ;;Tenderer;
DraftsList.table.requestChannel;Typ návrhu;;Draft type;
DraftsList.table.srName;Názov návrhu;;Draft name;
DraftsList.table.standardRequestState;Stav;Stav návrhu;Status;
DraftsList.table.version;Verzia;;Version;
DraftsList.table.workGroup;Pracovná skupina;;Assigned working group;
DraftsList.title;Zoznam návrhov;;Draft list;
ITVSExceptions.note;Poznámka;;Note;
ITVSExceptions.relatedISVS;Súvisiace ISVS;;Related ISVSs;
ITVSExceptions.relatedPO;Súvisiace Orgány riadenia;Súvisiace orgány riadenia;Related POs;
ITVSExceptions.vynimky_ITVS;Osobitný postup;;ITVS Exceptions;
KRIS.heading;Zoznam koncepcií KRIT;;List of KRIT approaches;
KRIS.responsibleAuthority;Aktuálne zodpovedná povinná osoba;Aktuálne zodpovedný orgán riadenia;Current responsible authority;
KRIS.table.code;Kód;;Code;
KRIS.table.name;Názov;;Name;
KRIS.table.state;Stav;;State;
LicenseAgreement.Agree;Súhlasím s podmienkami používania Centrálneho metainformačného systému verejnej správy.;;I agree to the terms of use of the Central Public Administration Metainformation System.;
LicenseAgreement.Confirm;Potvrtiť;Potvrdiť;Potvrtiť;Confirm
LicenseAgreement.Detail.Account;Váš účet;;Your Account;
